date,end,open,high,low,plusminus
2019-11-08,"1,163.65","1,159.25","1,174.49","1,158.45",0.42%
2019-11-15,"1,180.33","1,163.90","1,181.42","1,162.93",1.43%
2019-11-22,"1,181.70","1,180.75","1,183.16","1,170.80",0.12%
2019-11-29,"1,186.21","1,181.66","1,196.41","1,178.05",0.38%
2019-12-06,"1,176.21","1,185.95","1,195.78","1,168.44",-0.84%
2019-12-13,"1,159.40","1,176.31","1,177.31","1,157.87",-1.43%
2019-12-20,"1,159.68","1,159.12","1,166.34","1,158.12",0.02%
2019-12-27,"1,165.95","1,160.97","1,169.24","1,153.14",0.54%
2020-01-03,"1,158.97","1,165.89","1,180.24","1,158.09",-0.60%
2020-01-10,"1,161.44","1,158.92","1,163.40","1,151.11",0.21%
2020-01-17,"1,170.20","1,161.46","1,171.17","1,156.56",0.75%
2020-01-24,"1,195.97","1,170.24","1,198.90","1,170.20",2.20%
2020-01-31,"1,192.39","1,195.96","1,199.85","1,178.32",-0.30%
2020-02-07,"1,183.46","1,192.39","1,194.90","1,176.80",-0.75%
2020-02-14,"1,207.07","1,183.20","1,214.83","1,179.26",1.99%
2020-02-21,"1,200.32","1,206.99","1,222.55","1,198.98",-0.56%
2020-02-28,"1,188.80","1,200.21","1,207.15","1,178.36",-0.96%
2020-03-06,"1,211.78","1,189.10","1,226.75","1,184.42",1.93%
2020-03-13,"1,254.95","1,211.70","1,292.93","1,209.31",3.56%
2020-03-20,"1,212.73","1,254.85","1,283.05","1,205.31",-3.36%
2020-03-27,"1,236.61","1,212.73","1,243.29","1,212.18",1.97%
2020-04-03,"1,211.55","1,236.42","1,239.51","1,206.64",-2.03%
2020-04-10,"1,216.24","1,212.04","1,230.53","1,209.61",0.39%
2020-04-17,"1,230.62","1,216.26","1,241.82","1,214.71",1.18%
2020-04-24,"1,224.93","1,230.50","1,235.10","1,203.52",-0.46%
2020-05-01,"1,219.80","1,224.80","1,230.53","1,214.51",-0.42%
2020-05-08,"1,233.19","1,219.70","1,235.58","1,214.18",1.10%
2020-05-15,"1,240.66","1,233.09","1,244.51","1,221.06",0.61%
2020-05-22,"1,231.59","1,240.56","1,244.89","1,230.08",-0.73%
2020-05-29,"1,202.10","1,231.47","1,232.19","1,200.35",-2.39%
2020-06-05,"1,203.77","1,201.85","1,210.48","1,184.24",0.14%
2020-06-12,"1,211.98","1,203.61","1,219.26","1,203.16",0.68%
2020-06-19,"1,203.92","1,211.89","1,216.45","1,197.00",-0.67%
2020-06-26,"1,199.43","1,203.63","1,205.96","1,195.09",-0.37%
2020-07-03,"1,200.62","1,199.66","1,206.03","1,189.23",0.10%
2020-07-10,"1,203.94","1,200.52","1,208.74","1,198.69",0.28%
2020-07-17,"1,201.59","1,203.53","1,206.93","1,192.29",-0.20%
2020-07-24,"1,193.59","1,201.49","1,202.32","1,186.27",-0.67%
2020-07-31,"1,188.68","1,194.10","1,197.12","1,182.51",-0.41%
2020-08-07,"1,186.94","1,189.19","1,189.64","1,181.24",-0.15%
2020-08-14,"1,191.72","1,185.90","1,193.51","1,176.04",0.40%
2020-08-21,"1,180.48","1,192.12","1,193.03","1,180.03",-0.94%
2020-08-28,"1,187.30","1,180.51","1,193.21","1,178.91",0.58%
2020-09-04,"1,187.89","1,187.33","1,191.79","1,183.88",0.05%
2020-09-11,"1,164.81","1,187.99","1,188.86","1,159.40",-1.94%
2020-09-18,"1,174.32","1,165.00","1,178.03","1,156.46",0.82%
2020-09-25,"1,166.26","1,174.44","1,175.23","1,160.70",-0.69%
2020-10-02,"1,143.52","1,166.35","1,167.33","1,141.86",-1.95%
2020-10-09,"1,142.13","1,143.65","1,152.14","1,140.73",-0.12%
2020-10-16,"1,127.95","1,142.21","1,143.96","1,126.23",-1.24%
2020-10-23,"1,136.49","1,128.45","1,139.16","1,124.69",0.76%
2020-10-30,"1,121.40","1,136.60","1,147.82","1,118.45",-1.33%
2020-11-06,"1,107.62","1,121.91","1,122.35","1,107.03",-1.23%
2020-11-13,"1,114.95","1,108.25","1,119.09","1,101.61",0.66%
2020-11-20,"1,104.43","1,115.08","1,116.82","1,102.43",-0.94%
2020-11-27,"1,083.77","1,105.02","1,110.44","1,080.57",-1.87%
2020-12-04,"1,091.67","1,083.87","1,094.56","1,080.39",0.73%
2020-12-11,"1,099.39","1,091.80","1,100.78","1,088.05",0.71%
2020-12-18,"1,099.07","1,099.48","1,112.74","1,097.94",-0.03%
2020-12-25,"1,084.73","1,100.08","1,103.55","1,082.97",-1.30%
2021-01-01,"1,092.93","1,085.73","1,099.21","1,080.02",0.76%
2021-01-08,"1,103.27","1,093.01","1,105.33","1,092.33",0.95%
2021-01-15,"1,105.41","1,104.26","1,108.42","1,096.59",0.19%
2021-01-22,"1,117.64","1,105.54","1,121.76","1,100.05",1.11%
2021-01-29,"1,116.77","1,118.43","1,127.85","1,111.80",-0.08%
2021-02-05,"1,102.59","1,117.76","1,122.17","1,101.73",-1.27%
2021-02-12,"1,104.27","1,104.37","1,111.28","1,096.91",0.15%
2021-02-19,"1,123.89","1,106.02","1,130.33","1,102.83",1.78%
2021-02-26,"1,128.00","1,124.89","1,137.27","1,102.06",0.37%
2021-03-05,"1,136.00","1,128.85","1,145.60","1,127.00",0.71%
2021-03-12,"1,129.12","1,136.50","1,138.78","1,120.04",-0.61%
2021-03-19,"1,128.52","1,129.47","1,138.02","1,125.02",-0.05%
2021-03-26,"1,128.64","1,128.95","1,136.41","1,125.07",0.01%
2021-04-02,"1,120.98","1,129.69","1,130.03","1,113.15",-0.68%
2021-04-09,"1,116.50","1,121.77","1,128.42","1,112.09",-0.40%
2021-04-16,"1,114.72","1,117.05","1,121.82","1,110.29",-0.16%
2021-04-23,"1,117.16","1,115.85","1,119.45","1,105.30",0.22%
2021-04-30,"1,111.23","1,117.76","1,128.92","1,109.48",-0.53%
2021-05-07,"1,125.79","1,112.97","1,136.13","1,110.49",1.31%
2021-05-14,"1,127.63","1,126.52","1,139.79","1,122.24",0.16%
2021-05-21,"1,113.08","1,127.86","1,129.60","1,112.86",-1.29%
2021-05-28,"1,110.52","1,113.83","1,119.51","1,104.69",-0.23%
